Class,Order,Family,Genus,species,common_name,rl_id,rl_binomial,fishbase_id,fishbase_binomial
Mammalia,Primates,Cercopithecidae,Trachypithecus,pileatus,Capped langur,22041,Trachypithecus pileatus,NULL,NULL
Mammalia,Primates,Cercopithecidae,Macaca,assamensis,Assamese macaque,12549,Macaca assamensis,NULL,NULL
Mammalia,Primates,Cercopithecidae,Macaca,leonina,Pig-tailed macaque,39792,Macaca leonina,NULL,NULL
Mammalia,Primates,Cercopithecidae,Macaca,mulatta,Rhesus monkey,12554,Macaca mulatta,NULL,NULL
Mammalia,Primates,Cercopithecidae,Macaca,radiata,Dark-bellied bonnet macaque,12558,Macaca radiata,NULL,NULL
Mammalia,Artiodactyla,Cervidae,Muntiacus,muntjak,Red muntjac,42190,Muntiacus muntjak,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Capricornis,sumatraensis,Southern serow,3812,Capricornis sumatraensis,NULL,NULL
Reptilia,Squamata,Scincidae,Oligosoma,alani,Robust skink,6010,Oligosoma alani,NULL,NULL
Reptilia,Squamata,Scincidae,Oligosoma,whitakeri,Whitaker's skink,6013,Oligosoma whitakeri,NULL,NULL
Reptilia,Squamata,Scincidae,Oligosoma,suteri,Egg-laying skink,178624,Oligosoma suteri,NULL,NULL
Reptilia,Squamata,Colubridae,Coronella,austriaca,Smooth snake,157284,Coronella austriaca,NULL,NULL
Reptilia,Squamata,Viperidae,Vipera,aspis,Asp viper,61591,Vipera aspis,NULL,NULL
Reptilia,Squamata,Colubridae,Hierophis,viridiflavus,Western whipsnake,61449,Hierophis viridiflavus,NULL,NULL
Reptilia,Squamata,Colubridae,Alsophis,antiguae,Antiguan racer,939,Alsophis antiguae,NULL,NULL
Reptilia,Squamata,Viperidae,Vipera,ursinii,Meadow viper / Orsini's viper,22997,Vipera ursinii,NULL,NULL
Reptilia,Squamata,Viperidae,Bitis,gabonica,Gaboon adder,13300925,Bitis rhinoceros,NULL,NULL
Reptilia,Squamata,Viperidae,Bitis,nasicornis,Rhinoceros viper,13300925,Bitis rhinoceros,NULL,NULL
Reptilia,Squamata,Pythonidae,Python,regius,Ball python / Royal python,177562,Python regius,NULL,NULL
Reptilia,Squamata,Elapidae,Dendroaspis,jamesoni,Jameson's mamba,NULL,NULL,NULL,NULL
Reptilia,Squamata,Elapidae,Notechis,scutatus,Tiger snake,169687,Notechis scutatus,NULL,NULL
Reptilia,Squamata,Lacertidae,Acanthodactylus,scutellatus,Nidua fringe-fingered lizard,NULL,NULL,NULL,NULL
Reptilia,Squamata,Viperidae,Vipera,berus,European adder,NULL,NULL,NULL,NULL
Mammalia,Rodentia,Sciuridae,Marmota,marmota,Alpine marmot,12835,Marmota marmota,NULL,NULL
Mammalia,Carnivora,Viverridae,Genetta,genetta,Common genet,41698,Genetta genetta,NULL,NULL
Mammalia,Carnivora,Felidae,Felis,silvestris,Wild cat,60354712,Felis silvestris,NULL,NULL
Aves,Gruiformes,Gruidae,Leucogeranus,leucogeranus,Siberian crane,22692053,Leucogeranus leucogeranus,NULL,NULL
Mammalia,Carnivora,Mustelidae,Martes,foina,Stone marten,29672,Martes foina,NULL,NULL
Aves,Pelecaniformes,Ardeidae,Ardeola,bacchus,Chinese pond-heron,22697133,Ardeola bacchus,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Anastomus,oscitans,Asian openbill,22697661,Anastomus oscitans,NULL,NULL
Aves,Accipitriformes,Accipitridae,Aegypius,monachus,Cinereous vulture / Black vulture ,22695231,Aegypius monachus,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Buceros,rhinoceros,Rhinoceros hornbill,22682450,Buceros rhinoceros,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Buceros,bicornis,Great hornbill,22682453,Buceros bicornis,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Rhinoplax,vigil,Helmeted hornbill,22682464,Rhinoplax vigil,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Anorrhinus,galeritus,Bushy-crested hornbill,22682485,Anorrhinus galeritus,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Rhabdotorrhinus,corrugatus,Wrinkled hornbill,22682514,Rhabdotorrhinus corrugatus,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Rhyticeros,undulatus,Wreathed hornbill,22682528,Rhyticeros undulatus,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Berenicornis,comatus,White-crowned hornbill,22682507,Berenicornis comatus,NULL,NULL
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,22688927,Bubo bubo,NULL,NULL
Aves,Gruiformes,Gruidae,Antigone,antigone,Sarus crane,22692064,Antigone antigone,NULL,NULL
Aves,Galliformes,Phasianidae,Pucrasia,macrolopha,Koklass pheasant,22679179,Pucrasia macrolopha,NULL,NULL
Aves,Galliformes,Phasianidae,Lophura,leucomelanos,Kalij pheasant,22679217,Lophura leucomelanos,NULL,NULL
Aves,Galliformes,Phasianidae,Lophophorus,impejanus,Himalayan monal,22679182,Lophophorus impejanus,NULL,NULL
Aves,Strigiformes,Strigidae,Strix,nebulosa,Great grey owl,22689118,Strix nebulosa,NULL,NULL
Amphibia,Anura,Hemisotidae,Hemisus,marmoratus,Marbled snout-burrower,55281,Hemisus marmoratus,NULL,NULL
Aves,Accipitriformes,Accipitridae,Gypaetus,barbatus,Bearded vulture / Lammergeyer,22695174,Gypaetus barbatus,NULL,NULL
Aves,Psittaciformes,Psittacidae,Ara,ararauna,Blue-and-yellow macaw,22685539,Ara ararauna,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Jabiru,mycteria,Jabiru,22697710,Jabiru mycteria,NULL,NULL
Aves,Charadriiformes,Charadriidae,Hoploxypterus,cayanus,Pied lapwing,22694072,Hoploxypterus cayanus,NULL,NULL
Aves,Anseriformes,Anhimidae,Anhima,cornuta,Horned screamer,22679723,Anhima cornuta,NULL,NULL
Mammalia,Primates,Atelidae,Ateles,chamek,Peruvian spider monkey,41547,Ateles chamek,NULL,NULL
Mammalia,Primates,Cebidae,Saimiri,boliviensis,Peruvian squirrel monkey,41536,Saimiri boliviensis,NULL,NULL
Mammalia,Carnivora,Mustelidae,Pteronura,brasiliensis,Giant otter,18711,Pteronura brasiliensis,NULL,NULL
Mammalia,Perissodactyla,Tapiridae,Tapirus,terrestris,South American tapir,21474,Tapirus terrestris,NULL,NULL
Mammalia,Rodentia,Caviidae,Hydrochoeris,hydrochaeris,Capybara,10300,Hydrochoerus hydrochaeris,NULL,NULL
Aves,Accipitriformes,Accipitridae,Elanus,caeruleus,Black-winged kite,22695028,Elanus caeruleus,NULL,NULL
Reptilia,Squamata,Iguanidae,Iguana,delicatissima,Lesser antillean iguana,10800,Iguana delicatissima,NULL,NULL
Actinopteri,Anabantiformes,Channidae,Channa,striata,Striped snakehead,166563,Channa striata,343,Channa striata
Actinopteri,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,New Zealand longfin eel,197276,Anguilla dieffenbachii,11878,Anguilla dieffenbachii
Actinopteri,Anguilliformes,Anguillidae,Anguilla,australis,Short-finned eel,195502,Anguilla australis,297,Anguilla australis
Aves,Pelecaniformes,Ardeidae,Ardeola,grayii,Indian pond-heron,22697128,Ardeola grayii,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Leptoptilos,javanicus,Lesser adjutant,22697713,Leptoptilos javanicus,NULL,NULL
Aves,Anseriformes,Anatidae,Dendrocygna,javanica,Lesser whistling-duck,22679758,Dendrocygna javanica,NULL,NULL
Aves,Anseriformes,Anatidae,Anas,poecilorhyncha,Indian spot-billed duck,22736541,Anas poecilorhyncha,NULL,NULL
Aves,Anseriformes,Anatidae,Aythya,baeri,Baer's pochard,22680384,Aythya baeri,NULL,NULL
Aves,Gruiformes,Rallidae,Amaurornis,phoenicurus,White-breasted waterhen,22692640,Amaurornis phoenicurus,NULL,NULL
Aves,Charadriiformes,Jacanidae,Hydrophasianus,chirurgus,Pheasant-tailed jacana,22693543,Hydrophasianus chirurgus,NULL,NULL
Aves,Charadriiformes,Jacanidae,Metopidius,indicus,Bronze-winged jacana,22693547,Metopidius indicus,NULL,NULL
Aves,Charadriiformes,Rostratulidae,Rostratula,benghalensis,Greater painted-snipe,22735810,Rostratula benghalensis,NULL,NULL
Aves,Charadriiformes,Charadriidae,Vanellus,cinereus,Grey-headed lapwing,22694010,Vanellus cinereus,NULL,NULL
Aves,Charadriiformes,Charadriidae,Vanellus,indicus,Red-wattled lapwing,22694013,Vanellus indicus,NULL,NULL
Aves,Charadriiformes,Scolopacidae,Gallinago,solitaria,Solitary snipe,22693075,Gallinago solitaria,NULL,NULL
Aves,Charadriiformes,Laridae,Sterna,aurantia,River tern,22694537,Sterna aurantia,NULL,NULL
Aves,Charadriiformes,Scolopacidae,Gallinago,stenura,Pintail snipe,22693085,Gallinago stenura,NULL,NULL
Actinopteri,Ophidiiformes,Ophidiidae,Genypterus,blacodes,Pink cusk-eel,NULL,NULL,482,Genypterus blacodes
Aves,Trogoniformes,Trogonidae,Pharomachrus,mocinno,Resplendent quetzal,22682727,Pharomachrus mocinno,NULL,NULL
Actinopteri,Perciformes,Haemulidae,Anisotremus,surinamensis,Black margate,194408,Anisotremus surinamensis,1123,Anisotremus surinamensis
