Scientific name,Common name,Overall category,Category triggered by rate of population reduction (Criterion A),Optimistic decline10years,Pessimistic decline10years,Median decline10years,Optimistic category10years,Pessimistic category10years,Median category10years,Revised optimistic category10years,Revised pessimistic category10years,Revised median category10years,Optimistic decline3gens,Pessimistic decline3gens,Median decline3gens,Revised optimistic category3gens,Revised pessimistic category3gens,Revised median category3gens,Optimistic category3gens,Pessimistic category3gens,Median category3gens
Ploceus upembae,Upemba Masked Weaver,DD,LC,0.01,0.16,0.08,DD,DD,DD,DD,DD,DD,0.01,0.16,0.08,LC,LC,LC,DD,DD,DD
Ploceus katangae,Katanga Masked Weaver,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Ploceus ruweti,Lufira Masked Weaver,DD,LC,0,0,0,DD,DD,DD,DD,DD,DD,0,0,0,LC,LC,LC,DD,DD,DD
Ploceus reichardi,Tanzanian Masked Weaver,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Ploceus vitellinus,Vitelline Masked Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus spekei,Speke's Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus spekeoides,Fox's Weaver,NT,LC,0.01,0.16,0.08,LC,LC,LC,NT,NT,NT,0.01,0.16,0.08,LC,LC,LC,NT,NT,NT
Ploceus cucullatus,Village Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus grandis,Giant Weaver,NT,LC,0.01,0.16,0.08,LC,LC,LC,NT,NT,NT,0.01,0.19,0.1,LC,LC,LC,NT,NT,NT
Ploceus castaneofuscus,Chestnut-and-black Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus nigerrimus,Vieillot's Black Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus weynsi,Weyns's Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus golandi,Clarke's Weaver,EN,LC,0.08,0.16,0.12,LC,LC,LC,EN,EN,EN,0.08,0.16,0.12,LC,LC,LC,EN,EN,EN
Ploceus dichrocephalus,Juba Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus melanocephalus,Black-headed Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus jacksoni,Golden-backed Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus badius,Cinnamon Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus rubiginosus,Chestnut Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus aureonucha,Golden-naped Weaver,EN,LC,0.01,0.16,0.08,LC,LC,LC,EN,EN,EN,0.01,0.16,0.08,LC,LC,LC,EN,EN,EN
Ploceus tricolor,Yellow-mantled Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus albinucha,Maxwell's Black Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus nelicourvi,Nelicourvi Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus sakalava,Sakalava Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus hypoxanthus,Asian Golden Weaver,NT,NT,0.17,0.25,0.21,LC,NT,LC,LC,NT,LC,0.17,0.25,0.21,LC,NT,LC,LC,NT,LC
Ploceus superciliosus,Compact Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus benghalensis,Black-breasted Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus manyar,Streaked Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus philippinus,Baya Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus megarhynchus,Finn's Weaver,VU,VU,0.26,0.44,0.35,NT,VU,VU,VU,VU,VU,0.27,0.46,0.36,NT,VU,VU,VU,VU,VU
Ploceus bicolor,Dark-backed Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
